대분류,실내/실외,소분류,주소,이름,평점,투표횟수,태깅
관광,실외,공원,광주광역시 서구 풍암동 460,풍암호수공원,4.4,1734,관광 공원 풍암호수공원
관광,실외,공원,광주 서구 쌍촌동 975-7,운천저수지,4.2,1511,관광 공원 운천저수지
관광,실외,공원,광주 북구 하서로 52,중외공원,4.5,640,관광 공원 중외공원
관광,실외,공원,광주 북구 금곡동 산 1-3,무등산 국립공원,4.5,1076,관광 공원 무등산 국립공원
관광,실외,공원,광주 동구 필문대로 309,조선대학교 장미공원,4,1,관광 공원 조선대학교 장미공원
관광,실외,공원,광주 남구 효우로 107,물빛근린공원,4.4,296,관광 공원 물빛근린공원
관광,실외,공원,광주 동구 대의동 50-26,ACC 하늘마당,4.5,505,관광 공원 ACC 하늘마당
관광,실외,공원,광주 서구 회재로 1111,풍암생활체육공원,4.4,516,관광 공원 풍암생활체육공원
관광,실외,마을,광주 남구 천변좌로446번길 7,펭귄마을,3.9,947,관광 마을 펭귄마을
관광,실외,공원,광주 남구 양림동 108-10,사직공원,4.3,750,관광 공원 사직공원
관광,실외,마을,광주 남구 서서평길 7,역사문화마을,4.4,5,관광 마을 역사문화마을
관광,실외,마을,광주 서구 양동 440-5,청춘발산마을,3.7,315,관광 마을 청춘발산마을
관광,실외,마을,광주 서구 눌재로 420,서창향토마을,3.9,39,관광 마을 서창향토마을
관광,실외,공원,광주 북구 문흥동 803-1,맥문동숲길,4.5,138,관광 공원 맥문동숲길
